FileSizeMB,BlockSizeMB,ChunkSizeMB,ThroughputMBs,CPU
8000,67108864,1048576,2.23788924971434056488e+02,1.42359731731825309708e+01
8000,67108864,1048576,2.48888123419638191081e+02,1.33632775989199288347e+01
8000,67108864,1048576,2.65805033071462219141e+02,1.24771404821280125219e+01
8000,67108864,1048576,2.61936383706941398941e+02,1.34285089158735360115e+01
8000,67108864,1048576,2.73158356967506563251e+02,1.33042561076427485744e+01
8000,67108864,2097152,2.70677411161389841254e+02,1.44056299813464470105e+01
8000,67108864,2097152,2.99992638930622263160e+02,1.24033192422107401143e+01
8000,67108864,2097152,3.28643103284804226405e+02,1.24631015308574184530e+01
8000,67108864,2097152,3.05265645408081581991e+02,1.26850702072786312158e+01
8000,67108864,2097152,3.00504471882172197184e+02,1.25176293603284563005e+01
8000,67108864,4194304,2.98587167634225920665e+02,1.23933752568333233057e+01
8000,67108864,4194304,2.90282123744656814779e+02,1.29101651264959844667e+01
8000,67108864,4194304,2.91165305790357137994e+02,1.25455871626549981812e+01
8000,67108864,4194304,3.22420332051833440801e+02,1.21994687111200779128e+01
8000,67108864,4194304,2.98977884306919918345e+02,1.25245411200099709959e+01
8000,67108864,8388608,2.96735035531609526060e+02,1.26602266394203972766e+01
8000,67108864,8388608,3.09953622026978109716e+02,1.29968923993266862738e+01
8000,67108864,8388608,3.42590793197894072364e+02,1.25696727168786637208e+01
8000,67108864,8388608,3.10724899050335352513e+02,1.22520420070011670788e+01
8000,67108864,8388608,3.10780171665643422330e+02,1.25752963274823486017e+01
8000,67108864,16777216,2.87608816346275830256e+02,1.23802660420983094980e+01
8000,67108864,16777216,2.88158798550705341768e+02,1.26899285328208524248e+01
8000,67108864,16777216,2.75617919009605600422e+02,1.28247126436781595515e+01
8000,67108864,16777216,3.07678000665276783820e+02,1.25284811142132799233e+01
8000,67108864,16777216,3.23057506699506006953e+02,1.21628001079039655963e+01
8000,67108864,variable,2.94558510181967221797e+02,1.28002703200835536990e+01
8000,67108864,variable,3.00858412984658002642e+02,1.22811413537131581819e+01
8000,67108864,variable,2.92138035952332586476e+02,1.23708197420967600522e+01
8000,67108864,variable,2.89126327460286177029e+02,1.25833006664053304036e+01
8000,67108864,variable,3.13540157223927963059e+02,1.23683005038937245956e+01
